default_bioreactorID,bioreactorID,parameterID,value,description
102,2,290,46.0,Coefficient of thermal conductivity double jacket inner wall
103,2,291,46.0,Coefficient of thermal conductivity double jacket outer wall
104,2,292,380.0,Thermal conductivity of the wall between H and Th
105,2,293,46.0,Thermal conductivity liquid - environment
106,2,294,1.0,Mass of the cooling system
107,2,295,23.5,Liquid mass in double jacket
108,2,296,150.0,Maximum cooling-water mass flux 8
109,2,297,6.0,Maximum steam heating flux
110,2,298,1.0,Mass of cooling system
111,2,299,56.0,Mass double jacket outside +0.5 double jacket inside
112,2,300,24.0,Mass reactor wall -0.5 double jacket inside
113,2,301,2000.0,Maximum electrical heating power (10 l reactor)
114,2,308,0.0003,Volume of heating system
115,2,302,1.6831,Density of heating system
116,2,303,998.2,Density of water at 20°C
117,2,304,1.0,Density of liquid in reactor
118,2,305,15.0,Temperature cooling-water inlet
119,2,306,134.0,Temperature of steam at inlet (saturated steam)
120,2,307,25.0,Environmental temperature in reactor
